Freq dB Phase
310.180664 70.418 166.7444
310.546875 70.412 166.7575
310.913086 70.407 166.7839
311.279297 70.402 166.8181
311.645508 70.400 166.8471
312.011719 70.398 166.8620
312.377930 70.395 166.8651
312.744141 70.390 166.8677
313.110352 70.384 166.8809
313.476562 70.378 166.9059
313.842773 70.375 166.9337
314.208984 70.373 166.9531
314.575195 70.370 166.9606
314.941406 70.366 166.9635
315.307617 70.361 166.9737
315.673828 70.355 166.9979
316.040039 70.351 167.0325
316.406250 70.349 167.0669
316.772461 70.348 167.0923
317.138672 70.346 167.1090
317.504883 70.344 167.1240
317.871094 70.340 167.1442
318.237305 70.337 167.1707
318.603516 70.335 167.1983
318.969727 70.333 167.2214
319.335938 70.330 167.2396
319.702148 70.326 167.2571
320.068359 70.322 167.2782
320.434570 70.317 167.3024
320.800781 70.313 167.3260
321.166992 70.308 167.3466
321.533203 70.303 167.3672
321.899414 70.297 167.3940
322.265625 70.291 167.4294
322.631836 70.287 167.4680
322.998047 70.285 167.4987
323.364258 70.284 167.5138
323.730469 70.281 167.5159
324.096680 70.276 167.5165
324.462891 70.271 167.5268
324.829102 70.265 167.5488
325.195312 70.261 167.5751
325.561523 70.259 167.5972
325.927734 70.256 167.6145
326.293945 70.253 167.6352
326.660156 70.250 167.6665
327.026367 70.250 167.7039
327.392578 70.252 167.7314
327.758789 70.256 167.7332
328.125000 70.256 167.7093
328.491211 70.252 167.6801
328.857422 70.242 167.6744
329.223633 70.232 167.7082
329.589844 70.225 167.7715
329.956055 70.224 167.8346
330.322266 70.226 167.8693
330.688477 70.227 167.8702
331.054688 70.222 167.8574
331.420898 70.213 167.8610
331.787109 70.202 167.8979
332.153320 70.195 167.9604
332.519531 70.192 168.0232
332.885742 70.193 168.0631
333.251953 70.192 168.0753
333.618164 70.190 168.0741
333.984375 70.184 168.0797
334.350586 70.178 168.1018
334.716797 70.174 168.1340
335.083008 70.172 168.1603
335.449219 70.172 168.1691
335.815430 70.170 168.1625
336.181641 70.165 168.1548
336.547852 70.158 168.1625
336.914062 70.151 168.1926
337.280273 70.147 168.2386
337.646484 70.147 168.2846
338.012695 70.149 168.3154
338.378906 70.151 168.3250
338.745117 70.151 168.3198
339.111328 70.148 168.3138
339.477539 70.142 168.3203
339.843750 70.136 168.3450
340.209961 70.131 168.3831
340.576172 70.129 168.4227
340.942383 70.127 168.4529
341.308594 70.125 168.4713
341.674805 70.122 168.4851
342.041016 70.116 168.5069
342.407227 70.110 168.5447
342.773438 70.106 168.5945
343.139648 70.106 168.6411
343.505859 70.108 168.6664
343.872070 70.109 168.6631
344.238281 70.106 168.6416
344.604492 70.099 168.6250
344.970703 70.089 168.6350
345.336914 70.080 168.6766
345.703125 70.075 168.7342
346.069336 70.075 168.7817
346.435547 70.077 168.8020
346.801758 70.077 168.7991
347.167969 70.073 168.7949
347.534180 70.066 168.8108
347.900391 70.062 168.8503
348.266602 70.061 168.8951
348.632812 70.064 168.9196
348.999023 70.066 168.9129
349.365234 70.063 168.8898
349.731445 70.055 168.8813
350.097656 70.044 168.9112
350.463867 70.037 168.9775
350.830078 70.037 169.0518
351.196289 70.041 169.0997
351.562500 70.046 169.1051
351.928711 70.046 169.0801
352.294922 70.040 169.0547
352.661133 70.030 169.0551
353.027344 70.020 169.0877
353.393555 70.013 169.1391
353.759766 70.009 169.1897
354.125977 70.007 169.2282
354.492188 70.005 169.2558
354.858398 70.002 169.2800
355.224609 69.999 169.3057
355.590820 69.996 169.3318
355.957031 69.993 169.3547
356.323242 69.990 169.3738
356.689453 69.987 169.3925
357.055664 69.984 169.4142
357.421875 69.981 169.4387
357.788086 69.979 169.4615
358.154297 69.978 169.4779
358.520508 69.977 169.4867
358.886719 69.974 169.4916
359.252930 69.970 169.4982
359.619141 69.965 169.5111
359.985352 69.960 169.5327
360.351562 69.955 169.5631
360.717773 69.951 169.6008
361.083984 69.949 169.6412
361.450195 69.948 169.6771
361.816406 69.948 169.7020
362.182617 69.947 169.7148
362.548828 69.945 169.7223
362.915039 69.941 169.7356
363.281250 69.936 169.7621
363.647461 69.933 169.7982
364.013672 69.933 169.8306
364.379883 69.934 169.8454
364.746094 69.933 169.8395
365.112305 69.929 169.8245
365.478516 69.922 169.8190
365.844727 69.914 169.8362
366.210938 69.906 169.8749
366.577148 69.902 169.9208
366.943359 69.900 169.9585
367.309570 69.899 169.9820
367.675781 69.897 169.9982
368.041992 69.893 170.0183
368.408203 69.890 170.0476
368.774414 69.889 170.0805
369.140625 69.889 170.1050
369.506836 69.889 170.1140
369.873047 69.888 170.1116
370.239258 69.883 170.1115
370.605469 69.877 170.1263
370.971680 69.872 170.1581
371.337891 69.870 170.1975
371.704102 69.869 170.2309
372.070312 69.868 170.2515
372.436523 69.867 170.2635
372.802734 69.864 170.2777
373.168945 69.860 170.3007
373.535156 69.858 170.3286
373.901367 69.857 170.3503
374.267578 69.857 170.3574
374.633789 69.854 170.3530
375.000000 69.848 170.3515
375.366211 69.840 170.3685
375.732422 69.832 170.4091
376.098633 69.828 170.4626
376.464844 69.828 170.5100
376.831055 69.828 170.5372
377.197266 69.828 170.5450
377.563477 69.825 170.5480
377.929688 69.819 170.5640
378.295898 69.813 170.6006
378.662109 69.811 170.6501
379.028320 69.811 170.6945
379.394531 69.813 170.7176
379.760742 69.815 170.7167
380.126953 69.812 170.7043
380.493164 69.806 170.7010
380.859375 69.797 170.7228
381.225586 69.791 170.7720
