* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 128k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Sep 26, 2022 12:46:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Right
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
10600.000000 89.426 -16.6141
10750.000000 88.246 -17.8333
10900.000000 86.981 -16.6171
11060.000000 85.665 -12.9866
11200.000000 84.618 -8.1500
11380.000000 83.504 -0.1417
11500.000000 82.955 5.9343
11720.000000 82.396 17.3514
11800.000000 82.316 21.2899
12060.000000 82.324 32.7870
12200.000000 82.437 38.2668
12410.000000 82.728 45.6852
12500.000000 82.896 48.5302
12650.000000 83.224 52.7073
12800.000000 83.581 56.0770
13150.000000 84.312 60.9726
13200.000000 84.390 61.4281
13400.000000 84.625 63.0193
13600.000000 84.778 64.5633
13800.000000 84.910 66.1274
14000.000000 85.042 67.4787
14300.000000 85.188 69.0237
14500.000000 85.246 69.9864
14750.000000 85.307 71.4164
15000.000000 85.435 73.2446
15250.000000 85.724 75.2729
15500.000000 86.245 77.0386
15750.000000 87.044 78.0033
16000.000000 88.162 77.5766
16250.000000 89.661 75.0319
16500.000000 91.590 68.8957
16750.000000 93.638 56.0876
17000.000000 95.092 34.7447
17250.000000 95.496 8.0466
17500.000000 94.914 -18.9974
17750.000000 93.643 -44.2319
18000.000000 91.887 -67.6084
18250.000000 89.718 -88.8999
18500.000000 87.214 -107.4461
18750.000000 84.559 -123.2217
19000.000000 82.006 -137.4764
19250.000000 79.711 -152.0607
19500.000000 77.644 -168.1257
19750.000000 75.769 175.6692
